FSC-HLin,SSC-HLin,BLU-V-HLin,GRN-V-HLin,YEL-V-HLin,ORG-V-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,NIR-B-HLin,YEL-G-HLin,ORG-G-HLin,RED-G-HLin,NIR-G-HLin,BLU-V-ALin,BLU-V-W,FSC-HLog,SSC-HLog,BLU-V-HLog,GRN-V-HLog,YEL-V-HLog,ORG-V-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,NIR-B-HLog,YEL-G-HLog,ORG-G-HLog,RED-G-HLog,NIR-G-HLog,BLU-V-ALog,BLU-V-WLog,TIME,,P02.R1
44.010189,72.611023,0.222156,8.525625,1470.197754,1094.581665,686.289795,130.355377,6.967540,3.733266,0.905832,1.612366,0.918508,3.593221,0.051924,0.000000,1.643553,1.861003,0.000000,0.930726,3.167376,3.039248,2.836508,2.115129,0.843080,0.572089,0.000000,0.207464,0.000000,0.555484,0.000000,0.000000,104.000000,,1
32.782223,103.048393,0.154579,2.992195,584.769104,405.560425,267.188660,49.508644,3.019665,2.313550,0.581422,1.210537,1.374379,1.268991,0.080466,9998.000000,1.515638,2.013041,0.000000,0.475990,2.766984,2.608056,2.426818,1.694681,0.479959,0.364279,0.000000,0.082978,0.138106,0.103458,0.000000,3.999913,147.000000,,1
6.192930,18.086027,0.088559,0.000000,58.118874,49.427090,21.627781,2.690644,0.000000,1.044439,0.458066,0.021860,0.660977,1.517439,0.383281,9998.000000,0.791896,1.257343,0.000000,0.000000,1.764317,1.693965,1.335012,0.429856,0.000000,0.018883,0.000000,0.000000,0.000000,0.181111,0.000000,3.999913,174.000000,,1
9.512609,2.174962,0.282985,1.416981,220.391403,157.088135,102.035118,21.425770,1.669063,1.992514,0.704997,1.142481,1.534328,2.884670,0.063128,0.000000,0.978300,0.337452,0.000000,0.151364,2.343195,2.196143,2.008750,1.330936,0.222473,0.299401,0.000000,0.057849,0.185918,0.460096,0.000000,0.000000,213.000000,,0
63.395153,84.397972,0.171129,5.250924,899.033752,620.580566,409.966095,80.494392,5.107285,2.551656,0.628137,0.945100,1.110639,3.160788,0.015920,0.000000,1.802056,1.926332,0.000000,0.720236,2.953776,2.792798,2.612748,1.905766,0.708190,0.406822,0.000000,0.000000,0.045573,0.499795,0.000000,0.000000,269.000000,,1
12.447608,37.060677,0.329520,4.935458,591.303772,433.681427,275.412109,53.841099,4.127768,2.818311,1.059292,0.658821,0.994630,3.688528,0.224690,0.000000,1.095086,1.568913,0.000000,0.693327,2.771811,2.637171,2.439983,1.731114,0.615715,0.449989,0.025016,0.000000,0.000000,0.566853,0.000000,0.000000,358.000000,,1
7.788686,23.981897,0.263321,0.867741,76.022736,56.415215,34.909470,7.046776,1.093770,1.816594,0.792238,1.076661,0.922900,1.432533,0.033980,0.000000,0.891464,1.379884,0.000000,0.000000,1.880944,1.751396,1.542943,0.847991,0.038926,0.259258,0.000000,0.032079,0.000000,0.156105,0.000000,0.000000,579.000000,,1
7.672497,3.223693,0.099579,0.231040,25.046341,18.249689,7.342718,2.422791,1.735921,1.217744,0.578946,1.210976,1.002196,1.072628,0.089563,0.000000,0.884937,0.508354,0.000000,0.000000,1.398744,1.261256,0.865857,0.384316,0.239530,0.085556,0.000000,0.083136,0.000953,0.030449,0.000000,0.000000,609.000000,,1
5.795393,13.481227,0.245413,0.657264,0.000000,5.221478,0.000000,0.742509,1.392626,2.234613,0.543551,0.917311,0.562077,2.014254,0.105299,9998.000000,0.763083,1.129729,0.000000,0.000000,0.000000,0.717793,0.000000,0.000000,0.143834,0.349202,0.000000,0.000000,0.000000,0.304114,0.000000,3.999913,650.000000,,1
14.508357,49.821213,0.260606,1.284542,160.329666,136.260788,73.553627,14.560682,2.128147,2.722486,0.131441,1.140225,0.340301,2.078497,0.052092,0.000000,1.161618,1.697414,0.000000,0.108748,2.205014,2.134371,1.866604,1.163182,0.328002,0.434966,0.000000,0.056991,0.000000,0.317750,0.000000,0.000000,695.000000,,1
13.962031,27.733690,0.248428,2.478529,367.811279,272.003204,164.565796,32.534733,2.733066,3.212693,0.916113,1.195844,0.991376,2.281628,0.090043,0.000000,1.144949,1.443008,0.000000,0.394194,2.565625,2.434574,2.216340,1.512347,0.436650,0.506869,0.000000,0.077674,0.000000,0.358245,0.000000,0.000000,841.000000,,1
12.070773,5.797669,0.174622,3.954683,658.155090,468.995300,297.029663,59.592014,4.398316,1.564593,0.847777,0.600687,0.195524,2.531094,0.048650,0.000000,1.081735,0.763253,0.000000,0.597112,2.818328,2.671169,2.472800,1.775188,0.643286,0.194401,0.000000,0.000000,0.000000,0.403308,0.000000,0.000000,941.000000,,1
