Aminoacid-3-letter	Aminoacid-1-letter	alpha_helix_chou_processed	alpha_helix_deleage_processed	alpha_helix_levitt_processed	aminoacid_composition_swissprot_bairoch_processed	antiparallel_beta_strand_lifson_processed	average_area_buried_folding_rose_processed	average_flexibility_bhaskaran_processed	average_surrounding_hydrophobicity_manavalan_processed	beta_sheet_chou_processed	beta_sheet_deleage_processed	beta_sheet_levitt_processed	beta_turn_chou_processed	beta_turn_deleage_processed	beta_turn_levitt_processed	bulkiness_processed	coil_deleage_processed	hydration_potential_wolfenden_processed	hydrophilicity_hopp_processed	hydrophobic_constants_wilson_processed	hydrophobicity_abraham_processed	hydrophobicity_antigenicity_welling_processed	hydrophobicity_black_processed	hydrophobicity_bull_processed	hydrophobicity_chothia_processed	hydrophobicity_eisenberg_processed	hydrophobicity_fauchere_processed	hydrophobicity_free_energy_transfer_janin_processed	hydrophobicity_guy_processed	hydrophobicity_kyte_processed	hydrophobicity_miyazawa_processed	hydrophobicity_parker_processed	hydrophobicity_ph3.4_cowan_processed	hydrophobicity_ph7.5_cowan_processed	hydrophobicity_rao_processed	hydrophobicity_rf_aboderin_processed	hydrophobicity_rose_processed	hydrophobicity_roseman_processed	hydrophobicity_sweet_processed	hydrophobicity_tanford_processed	molecular_weight_processed	number_codons_processed	overall_composition_mccaldon_processed	parallel_beta_strand_processed	percentage_accessible_residues_janin_processed	percentage_buried_janin_processed	polarity_grantham_processed	polarity_zimmerman_processed	ratio_hetero_end_grantham_processed	recognition_factors_processed	refractivity_processed	relative_mutability_ala100_dayhoff_processed	retention_coefficient_hfba_browne_processed	retention_coefficient_ph2.1_meek_processed	retention_coefficient_ph7.4_meek_processed	retention_coefficient_tfa_browne_processed	total_beta_strand_lifson_processed	transmembrane_tendency_zhao_processed
Leu	L	1.210	1.236	1.300	9.66	1.260	164.100	0.370	14.900	1.300	1.261	1.020	0.590	0.670	0.580	21.400	0.810	2.280	-1.800	6.600	2.460	0.750	0.943	-1.650	0.450	1.060	1.700	0.500	-1.180	3.800	8.470	-9.200	1.800	-9.200	1.470	1.800	0.850	1.820	1.220	1.530	131.000	6.000	9.000	1.420	4.800	11.700	4.900	0.130	0.000	85.000	18.780	40.000	15.000	10.000	8.800	20.000	1.300	1.820
Lys	K	1.160	1.172	1.230	5.84	0.740	115.500	0.470	11.360	0.740	0.721	0.770	1.010	1.302	0.960	15.710	0.897	-9.520	3.000	-3.600	-2.450	2.060	0.283	0.460	0.030	-1.500	-0.990	-1.800	1.400	-3.900	2.950	5.700	-2.030	5.700	0.090	-2.030	0.520	-2.770	-0.670	-1.500	146.000	2.000	5.700	0.590	10.300	0.500	11.300	49.500	0.330	87.000	21.290	56.000	-2.500	-3.200	0.100	-3.700	0.700	-3.460
Met	M	1.450	1.363	1.470	2.42	1.090	172.900	0.300	14.390	1.050	1.210	0.970	0.600	0.436	0.410	16.250	0.810	-1.480	-1.300	2.500	1.100	-3.850	0.738	-0.660	0.400	0.640	1.230	0.400	-1.590	1.900	8.950	-4.200	1.180	-4.200	1.420	1.180	0.850	0.960	1.020	0.640	149.000	1.000	2.400	1.490	1.000	1.900	5.700	1.430	0.000	80.000	21.640	94.000	4.100	7.100	4.800	5.600	1.190	1.400
Phe	F	1.130	1.195	1.070	3.86	1.230	194.100	0.310	14.000	1.380	1.393	1.320	0.600	0.624	0.590	19.800	0.797	-0.760	-2.500	7.500	2.540	-1.410	1.000	-1.520	0.500	1.190	1.790	0.500	-2.120	2.800	9.030	-9.200	1.740	-9.200	1.570	1.740	0.880	2.270	1.920	1.190	165.000	2.000	3.900	1.300	2.400	5.100	5.200	0.350	0.000	81.000	29.400	41.000	14.700	13.900	13.200	19.200	1.250	1.980
Pro	P	0.570	0.492	0.520	4.70	0.420	92.900	0.510	11.370	0.550	0.354	0.640	1.520	1.415	1.910	17.430	1.540	0.000	0.000	2.200	1.290	-0.530	0.711	-0.170	0.180	0.120	0.720	-0.300	0.730	-1.600	3.870	2.100	0.860	2.100	0.540	0.860	0.640	0.990	-0.490	0.120	115.000	4.000	5.100	0.350	4.800	2.700	8.000	1.580	0.390	91.000	10.930	56.000	5.600	8.000	6.100	5.100	0.400	-1.440
Ser	S	0.770	0.739	0.820	6.56	0.870	85.600	0.510	11.230	0.750	0.928	0.950	1.430	1.316	1.320	9.470	1.130	-5.060	0.300	-0.600	-0.840	-0.260	0.359	0.420	0.220	-0.180	-0.040	-0.100	0.520	-0.800	4.090	6.500	-0.640	6.500	0.970	-0.640	0.660	-1.240	-0.550	-0.180	105.000	6.000	6.900	0.700	9.400	8.000	9.200	1.670	1.420	107.000	6.350	120.000	-3.500	-3.700	1.200	-4.100	0.820	-0.530
Thr	T	0.830	0.785	0.820	5.34	1.300	106.500	0.440	11.690	1.190	1.221	1.210	0.960	0.739	1.040	15.770	1.148	-4.880	-0.400	-2.200	-0.410	-0.450	0.450	0.290	0.230	-0.050	0.260	-0.200	0.070	-0.700	4.490	5.200	-0.260	5.200	1.080	-0.260	0.700	-1.000	-0.280	-0.050	119.000	4.000	5.800	0.590	7.000	4.900	8.600	1.660	0.710	93.000	11.010	97.000	1.100	1.500	2.700	0.800	1.120	-0.320
Trp	W	1.080	1.090	0.990	1.08	1.750	224.600	0.310	13.930	1.370	1.306	1.140	0.960	0.546	0.760	21.670	0.941	-5.880	-3.400	7.900	2.560	-1.140	0.878	-1.200	0.270	0.810	2.250	0.300	-0.510	-0.900	7.660	-10.000	1.460	-10.000	1.000	1.460	0.850	2.130	0.500	0.810	204.000	1.000	1.300	0.890	1.400	2.200	5.400	2.100	0.130	104.000	42.530	18.000	17.800	18.100	14.900	16.300	1.540	1.530
Tyr	Y	0.690	0.787	0.720	2.92	1.680	177.700	0.420	13.420	1.470	1.266	1.250	1.140	0.795	1.050	18.030	1.109	-6.110	-2.300	7.100	1.630	0.130	0.880	-1.430	0.150	0.260	0.960	-0.400	-0.210	-1.300	5.890	-1.900	0.510	-1.900	0.830	0.510	0.760	1.470	1.670	0.260	181.000	2.000	3.200	1.080	5.100	2.600	6.200	1.610	0.200	84.000	31.530	41.000	3.800	8.200	6.100	5.900	1.530	0.490
Val	V	1.060	0.990	0.910	6.87	1.530	141.000	0.390	15.710	1.700	1.965	1.490	0.500	0.387	0.470	21.570	0.772	1.990	-1.500	5.900	1.730	-0.130	0.825	-0.750	0.540	1.080	1.220	0.600	-1.270	4.200	7.630	-3.700	1.340	-3.700	1.370	1.340	0.860	1.300	0.910	1.800	117.000	4.000	6.600	2.630	4.500	12.900	5.900	0.130	0.000	89.000	13.920	74.000	2.100	3.300	2.700	3.500	1.810	1.460
